github.com/MicahParks/jwkset,Unknown,Apache-2.0
github.com/MicahParks/keyfunc/v3,Unknown,Apache-2.0
github.com/beorn7/perks/quantile,Unknown,MIT
github.com/cenkalti/backoff/v5,Unknown,MIT
github.com/cespare/xxhash/v2,Unknown,MIT
github.com/felixge/httpsnoop,Unknown,MIT
github.com/fsnotify/fsnotify,Unknown,BSD-3-Clause
github.com/go-logr/logr,Unknown,Apache-2.0
github.com/go-logr/stdr,Unknown,Apache-2.0
github.com/go-viper/mapstructure/v2,Unknown,MIT
github.com/golang-jwt/jwt/v5,Unknown,MIT
github.com/google/uuid,Unknown,BSD-3-Clause
github.com/gorilla/handlers,Unknown,BSD-3-Clause
github.com/gorilla/mux,Unknown,BSD-3-Clause
github.com/grafana/regexp,Unknown,BSD-3-Clause
github.com/grpc-ecosystem/grpc-gateway/v2,Unknown,BSD-3-Clause
github.com/klauspost/compress,Unknown,MIT
github.com/klauspost/compress,Unknown,Apache-2.0
github.com/klauspost/compress,Unknown,BSD-3-Clause
github.com/klauspost/compress/s2,Unknown,BSD-3-Clause
github.com/knadh/koanf/maps,Unknown,MIT
github.com/knadh/koanf/parsers/yaml,Unknown,MIT
github.com/knadh/koanf/providers/env,Unknown,MIT
github.com/knadh/koanf/providers/file,Unknown,MIT
github.com/knadh/koanf/providers/rawbytes,Unknown,MIT
github.com/knadh/koanf/v2,Unknown,MIT
github.com/minio/highwayhash,Unknown,Apache-2.0
github.com/mitchellh/copystructure,Unknown,MIT
github.com/mitchellh/reflectwalk,Unknown,MIT
github.com/munnerz/goautoneg,Unknown,BSD-3-Clause
github.com/nats-io/jwt/v2,Unknown,Apache-2.0
github.com/nats-io/nats-server/v2,Unknown,Apache-2.0
github.com/nats-io/nats-server/v2/internal/fastrand,Unknown,BSD-3-Clause
github.com/nats-io/nats.go,Unknown,Apache-2.0
github.com/nats-io/nkeys,Unknown,Apache-2.0
github.com/nats-io/nuid,Unknown,Apache-2.0
github.com/prometheus/client_golang/internal/github.com/golang/gddo/httputil,Unknown,BSD-3-Clause
github.com/prometheus/client_golang/prometheus,Unknown,Apache-2.0
github.com/prometheus/client_model/go,Unknown,Apache-2.0
github.com/prometheus/common,Unknown,Apache-2.0
github.com/prometheus/otlptranslator,Unknown,Apache-2.0
github.com/prometheus/procfs,Unknown,Apache-2.0
github.com/spf13/cobra,Unknown,Apache-2.0
github.com/spf13/pflag,Unknown,BSD-3-Clause
github.com/synadia-io/callout.go,Unknown,Apache-2.0
github.com/uptrace/opentelemetry-go-extra/otelutil,Unknown,BSD-2-Clause
github.com/uptrace/opentelemetry-go-extra/otelzap,Unknown,BSD-2-Clause
go.opentelemetry.io/auto/sdk,Unknown,Apache-2.0
go.opentelemetry.io/otel,Unknown,Apache-2.0
go.opentelemetry.io/otel,Unknown,BSD-3-Clause
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc,Unknown,Apache-2.0
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc,Unknown,BSD-3-Clause
go.opentelemetry.io/otel/exporters/otlp/otlptrace,Unknown,Apache-2.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace,Unknown,BSD-3-Clause
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc,Unknown,Apache-2.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc,Unknown,BSD-3-Clause
go.opentelemetry.io/otel/exporters/prometheus,Unknown,Apache-2.0
go.opentelemetry.io/otel/exporters/prometheus,Unknown,BSD-3-Clause
go.opentelemetry.io/otel/log,Unknown,Apache-2.0
go.opentelemetry.io/otel/log,Unknown,BSD-3-Clause
go.opentelemetry.io/otel/metric,Unknown,Apache-2.0
go.opentelemetry.io/otel/metric,Unknown,BSD-3-Clause
go.opentelemetry.io/otel/sdk,Unknown,Apache-2.0
go.opentelemetry.io/otel/sdk,Unknown,BSD-3-Clause
go.opentelemetry.io/otel/sdk/metric,Unknown,Apache-2.0
go.opentelemetry.io/otel/sdk/metric,Unknown,BSD-3-Clause
go.opentelemetry.io/otel/trace,Unknown,Apache-2.0
go.opentelemetry.io/otel/trace,Unknown,BSD-3-Clause
go.opentelemetry.io/proto/otlp,Unknown,Apache-2.0
go.uber.org/multierr,Unknown,MIT
go.uber.org/zap,Unknown,MIT
go.yaml.in/yaml/v2,Unknown,Apache-2.0
go.yaml.in/yaml/v3,Unknown,MIT
golang.org/x/crypto,Unknown,BSD-3-Clause
golang.org/x/net,Unknown,BSD-3-Clause
golang.org/x/sys,Unknown,BSD-3-Clause
golang.org/x/text,Unknown,BSD-3-Clause
golang.org/x/time/rate,Unknown,BSD-3-Clause
google.golang.org/genproto/googleapis/api/httpbody,Unknown,Apache-2.0
google.golang.org/genproto/googleapis/rpc,Unknown,Apache-2.0
google.golang.org/grpc,Unknown,Apache-2.0
google.golang.org/protobuf,Unknown,BSD-3-Clause
gopkg.in/yaml.v3,Unknown,MIT
